business_day,month,day_of_week,spend_in_minutes
5/1/2025,May,Thursday,0
5/2/2025,May,Friday,100
5/5/2025,May,Monday,0
5/6/2025,May,Tuesday,53
5/7/2025,May,Wednesday,0
5/8/2025,May,Thursday,0
5/9/2025,May,Friday,0
5/12/2025,May,Monday,108
5/13/2025,May,Tuesday,0
5/14/2025,May,Wednesday,15
5/15/2025,May,Thursday,5
5/16/2025,May,Friday,125
5/19/2025,May,Monday,0
5/20/2025,May,Tuesday,0
5/21/2025,May,Wednesday,0
5/22/2025,May,Thursday,0
5/23/2025,May,Friday,0
5/27/2025,May,Tuesday,85
5/28/2025,May,Wednesday,10
5/29/2025,May,Thursday,0
5/30/2025,May,Friday,0
6/2/2025,June,Monday,0
6/3/2025,June,Tuesday,0
6/4/2025,June,Wednesday,0
6/5/2025,June,Thursday,100
6/6/2025,June,Friday,0
6/9/2025,June,Monday,94
6/10/2025,June,Tuesday,0
6/11/2025,June,Wednesday,90
6/12/2025,June,Thursday,0
6/13/2025,June,Friday,0
6/16/2025,June,Monday,0
6/17/2025,June,Tuesday,0
6/18/2025,June,Wednesday,75
6/20/2025,June,Friday,0
6/23/2025,June,Monday,0
6/24/2025,June,Tuesday,0
6/25/2025,June,Wednesday,48
6/26/2025,June,Thursday,10
6/27/2025,June,Friday,0
6/30/2025,June,Monday,20
7/1/2025,July,Tuesday,0
7/2/2025,July,Wednesday,28
7/3/2025,July,Thursday,4
7/7/2025,July,Monday,0
7/8/2025,July,Tuesday,0
7/9/2025,July,Wednesday,0
7/10/2025,July,Thursday,80
7/11/2025,July,Friday,0
7/14/2025,July,Monday,0
7/15/2025,July,Tuesday,0
7/16/2025,July,Wednesday,0
7/17/2025,July,Thursday,62
7/18/2025,July,Friday,0
7/21/2025,July,Monday,0
7/22/2025,July,Tuesday,6
7/23/2025,July,Wednesday,0
7/24/2025,July,Thursday,55
7/25/2025,July,Friday,0
7/28/2025,July,Monday,0
7/29/2025,July,Tuesday,0
7/30/2025,July,Wednesday,0
7/31/2025,July,Thursday,46
8/1/2025,August,Friday,26
8/4/2025,August,Monday,0
8/5/2025,August,Tuesday,2
8/6/2025,August,Wednesday,2
8/7/2025,August,Thursday,42
8/8/2025,August,Friday,32
8/11/2025,August,Monday,0
8/12/2025,August,Tuesday,0
8/13/2025,August,Wednesday,3
8/14/2025,August,Thursday,0
8/15/2025,August,Friday,0
8/18/2025,August,Monday,0
8/19/2025,August,Tuesday,0
8/20/2025,August,Wednesday,0
8/21/2025,August,Thursday,0
8/22/2025,August,Friday,0
8/25/2025,August,Monday,0
8/26/2025,August,Tuesday,121
8/27/2025,August,Wednesday,2
8/28/2025,August,Thursday,2
8/29/2025,August,Friday,0
9/2/2025,September,Tuesday,0
9/3/2025,September,Wednesday,73
9/4/2025,September,Thursday,14
9/5/2025,September,Friday,0
